product_id,brand_name,rating,initial_price,discount,calculated_finalPrice
18973692,Levis,4.2,4099.0,57,1762.57
18973742,Levis,4.2,4399.0,48,2287.48
18974084,Levis,4.2,4399.0,57,1891.57
18873126,KETCH,4.0,1749.0,64,629.64
18802522,BEAT LONDON by PEPE JEANS,4.0,2799.0,50,1399.5
18973730,Levis,4.1,4399.0,49,2243.49
18973948,Levis,4.0,4999.0,30,3499.3
19008496,Calvin Klein Jeans,5.0,7999.0,40,4799.4
18992754,AMERICAN EAGLE OUTFITTERS,4.8,4499.0,60,1799.6
18973950,Levis,4.1,4999.0,51,2449.51
19842706,Llak Jeans,4.2,2299.0,75,574.75
18973728,Levis,4.4,4399.0,47,2331.47
18903330,Levis,4.4,3299.0,20,2639.2
18973740,Levis,4.3,4099.0,57,1762.57
18969982,Allen Solly Junior,4.2,1799.0,35,1169.35
18734066,Flying Machine,4.1,2699.0,61,1052.61
18993370,Blackberrys,4.3,3295.0,40,1977.0
15190770,AMERICAN EAGLE OUTFITTERS,4.0,3999.0,60,1599.6
15067844,Flying Machine,4.1,2399.0,50,1199.5
18960434,Lee,4.4,3999.0,55,1799.55
18973952,Levis,4.1,3499.0,48,1819.48
18689340,Flying Machine,4.3,2349.0,42,1362.42
18973790,Levis,4.3,5599.0,50,2799.5
21184968,HERE&NOW,4.6,2399.0,68,767.68
18903148,Levis,4.3,3899.0,20,3119.2
18734006,Flying Machine,4.3,2499.0,50,1249.5
18928362,AMERICAN EAGLE OUTFITTERS,4.1,4499.0,60,1799.6
18964420,American Bull,4.5,4299.0,62,1633.62
18973914,Levis,4.4,3799.0,60,1519.6
