order_id,customer_id,order_date,status,region_code
1,490,2024-02-23 00:00:00,DELIVERED,WEST
2,89,2023-07-16 00:00:00,PLACED,EAST
3,129,2023-02-01 00:00:00,PLACED,EAST
4,9,2025-11-16 00:00:00,PLACED,NORTH
5,159,2026-03-19 00:00:00,CANCELLED,NORTH
6,,2024-05-05 00:00:00,RETURNED,EAST
7,385,2022-05-29 00:00:00,CANCELLED,WEST
8,291,22-05-2025 00:00:00,DELIVERED,WEST
9,116,2023-10-26 00:00:00,CANCELLED,WEST
10,196,2025-10-18 00:00:00,PLACED,NORTH
11,165,2025-01-08 00:00:00,RETURNED,WEST
12,28,2023-04-17 00:00:00,SHIPPED,WEST
13,420,2023-02-17 00:00:00,DELIVERED,NORTH
14,418,2025-05-24 00:00:00,DELIVERED,EAST
15,87,2024-06-12 00:00:00,DELIVERED,SOUTH
16,464,2023-01-19 00:00:00,SHIPPED,EAST
17,347,2023-11-10 00:00:00,CANCELLED,EAST
18,199,30-04-2025 00:00:00,SHIPPED,SOUTH
19,166,2024-05-28 00:00:00,PLACED,WEST
20,334,2022-02-02 00:00:00,PLACED,NORTH
21,403,31-01-2023 00:00:00,PLACED,NORTH
22,389,2023-01-08 00:00:00,SHIPPED,EAST
23,410,2022-02-25 00:00:00,RETURNED,WEST
24,84,2025-10-03 00:00:00,DELIVERED,WEST
25,99,15-05-2023 00:00:00,DELIVERED,WEST
26,479,2023-11-27 00:00:00,SHIPPED,EAST
27,125,2023-01-21 00:00:00,RETURNED,WEST
28,477,2026-06-14 00:00:00,PLACED,NORTH
29,71,2026-05-14 00:00:00,RETURNED,NORTH
30,205,2023-11-24 00:00:00,CANCELLED,NORTH
31,479,2025-12-29 00:00:00,RETURNED,EAST
32,272,2024-11-09 00:00:00,PLACED,EAST
33,20,14-04-2026 00:00:00,SHIPPED,NORTH
34,113,2023-02-27 00:00:00,PLACED,EAST
35,381,2024-09-24 00:00:00,CANCELLED,WEST
36,108,2025-12-12 00:00:00,PLACED,NORTH
37,97,2024-10-30 00:00:00,RETURNED,WEST
38,264,2023-09-26 00:00:00,RETURNED,NORTH
39,35,2025-01-06 00:00:00,SHIPPED,SOUTH
40,24,2022-04-01 00:00:00,CANCELLED,SOUTH
41,99,2022-03-13 00:00:00,PLACED,NORTH
42,293,2024-06-11 00:00:00,PLACED,NORTH
43,134,2023-12-04 00:00:00,CANCELLED,WEST
44,416,2024-09-17 00:00:00,DELIVERED,EAST
45,65,2026-06-13 00:00:00,RETURNED,SOUTH
46,140,2026-03-07 00:00:00,PLACED,NORTH
47,95,2026-04-11 00:00:00,SHIPPED,EAST
48,383,04-03-2026 00:00:00,PLACED,EAST
49,429,2024-11-17 00:00:00,PLACED,SOUTH
50,148,10-04-2024 00:00:00,RETURNED,WEST
51,424,2022-07-10 00:00:00,PLACED,NORTH
52,365,16-09-2022 00:00:00,DELIVERED,NORTH
53,405,2024-06-10 00:00:00,RETURNED,SOUTH
54,42,2023-07-10 00:00:00,RETURNED,SOUTH
55,278,2023-06-15 00:00:00,CANCELLED,EAST
56,422,24-12-2024 00:00:00,PLACED,EAST
57,168,2026-03-15 00:00:00,CANCELLED,SOUTH
58,247,01-09-2022 00:00:00,RETURNED,WEST
59,162,2024-11-01 00:00:00,PLACED,WEST
60,174,2023-09-03 00:00:00,CANCELLED,WEST
61,127,19-07-2024 00:00:00,RETURNED,NORTH
62,225,2022-05-01 00:00:00,SHIPPED,NORTH
63,96,2023-03-06 00:00:00,PLACED,EAST
64,350,2022-11-20 00:00:00,DELIVERED,WEST
65,,2023-08-24 00:00:00,CANCELLED,WEST
66,122,2022-12-07 00:00:00,RETURNED,WEST
67,268,2022-11-06 00:00:00,PLACED,SOUTH
68,492,2023-10-27 00:00:00,PLACED,NORTH
69,164,2023-11-18 00:00:00,DELIVERED,NORTH
70,255,2023-02-01 00:00:00,CANCELLED,EAST
71,270,2024-12-02 00:00:00,RETURNED,EAST
72,26,2025-12-24 00:00:00,RETURNED,WEST
73,425,2024-01-07 00:00:00,CANCELLED,WEST
74,154,2023-01-22 00:00:00,SHIPPED,NORTH
75,33,2025-09-19 00:00:00,SHIPPED,SOUTH
76,355,2023-10-19 00:00:00,CANCELLED,EAST
77,221,2022-05-17 00:00:00,PLACED,EAST
78,373,2023-11-04 00:00:00,SHIPPED,EAST
79,133,2024-03-20 00:00:00,PLACED,EAST
80,43,2025-01-12 00:00:00,PLACED,NORTH
